Title,Links,VideoLink
"Brandy Melville Documentary Calls Clothing Brand Racist, Sexist &amp; Fatphobic","https://open.spotify.com/show/1tY1D8eg4QDzjCXF0tIWwl?si=435937562cfd4354
https://popculturecrisis.creator-spring.com/",https://www.youtube.com/watch?v=A3EmAlTjsH0
"shopping vlog: brandy melville, urban outfitters, coquette &amp; acubi style","https://youtu.be/vGVvDXab5Y8?si=aB0epLhvtpCjonde
https://youtu.be/QfzPSkKEM6Y?si=8fv7EwKzvUSuFLLt
https://youtu.be/7PvYu-1iEbY?si=GOZHrNvos0xxUnny",https://www.youtube.com/watch?v=TlmuM0lAcEQ
"London shopping haul - glossier, Brandy Melville, subdued &amp; more","https://open.spotify.com/user/niamhmacdougall?si=5zGJZlEZS0-B1AfQ7wz5VQ
https://www.vinted.co.uk/member/57404601-niamhmacdougall29",https://www.youtube.com/watch?v=9TP3ri7LY_E
Brandy Melville Spring Haul 🇺🇸 #brandymelville #brandymelvillehaul #springoutfitideas #outfits,"https://dearhannah.myflodesk.com/newsletter
https://liketoknow.it/dearhannah
https://www.amazon.com/shop/dearhannnah
https://www.dearhannahblog.com/",https://www.youtube.com/watch?v=r3z7h-Bi43M
